RevolvingUtilizationOfUnsecuredLines,Age,Late30to59Days,DebtRatio,MonthlyIncome,OpenCreditLinesAndLoans,Late90Days,RealEstateLoans,Late60to89Days,Dependents
0.1665,53,0,0.5436,7506,11,0,3,0,3
0.008632,79,0,0.3652,4200,9,0,1,0,0
0.1353,58,0,0.342,9455,11,0,2,0,2
0.06834,75,0,0.01093,1.006e+04,9,0,0,0,0
0,41,0,0.9075,2400,6,0,1,0,0
0.4052,46,0,0.6678,7700,22,0,2,0,1
0.6762,55,0,0.4367,3970,10,1,1,0,0
0.08534,51,0,0.4775,6200,11,0,1,0,0
0,25,0,0.1529,2916,3,0,0,1,0
0.7865,44,0,0.2917,3883,7,2,0,2,1
0.03833,56,0,0.4389,5000,7,0,2,0,0
0.715,55,0,0.4709,1.5e+04,12,0,2,0,3
1.095,53,5,0.5367,3500,7,1,1,2,0
1,55,0,0.1563,3250,5,0,0,0,4
0.1014,80,1,0.0162,5000,9,0,0,0,0
0.7622,44,4,0.2245,2.1e+04,5,0,1,0,3
0.2317,40,0,0.1197,3300,7,0,0,0,0
0.04542,64,0,0.1813,5200,4,0,1,0,0
0.312,61,0,0.2693,9866,12,0,2,0,2
0.07874,46,0,0.1662,4800,6,0,1,0,4
0.03017,64,0,0.1739,9000,8,0,1,0,0
0.02198,40,0,0.4438,1e+04,12,0,5,0,2
0.4437,27,0,0.02434,5833,4,0,0,0,0
0.04664,92,1,0.03433,2650,13,0,0,0,0
0.2924,50,0,0.4202,8750,8,0,2,0,0
1,66,1,0.3581,1937,4,1,0,0,0
0.0135,53,0,0.1835,1.9e+04,8,0,1,0,2
1,62,0,0.04966,6000,1,0,0,0,0
0.02811,61,0,0.03135,2200,12,0,0,0,0
0.2227,42,0,800,1,3,0,1,0,2
0.594,63,0,0.3327,5250,4,0,2,0,0
0.01751,73,1,0.1356,4166,12,0,1,0,0
0.6119,72,0,0.04578,7600,3,0,1,0,0
0.3331,52,3,0.7002,5215,15,0,2,1,0
0.009025,45,0,0.3768,8167,4,0,1,0,2
0.2603,44,0,0.2969,6962,11,0,1,0,0
0.456,63,1,0.7018,6001,19,0,2,0,0
1.953,38,0,0.1535,3556,5,0,0,0,2
0.1816,36,0,0.5607,2000,7,0,1,0,1
0.1471,41,0,0.436,6400,5,0,1,0,2
0,76,0,0.002466,7704,3,0,0,0,0
0.1964,43,0,0.5375,2600,10,0,1,0,0
0.03483,67,0,0.4602,1.292e+04,9,0,2,0,0
0.7875,52,0,0.3539,4416,12,0,0,0,1
0.2959,47,0,0.2838,1.4e+04,6,0,2,0,1
0.9733,61,1,0.21,5500,11,0,0,1,1
0.002857,73,0,0.0002857,1.05e+04,10,0,0,0,0
1,68,0,0.04049,6000,0,0,0,0,0
0.05343,41,0,0.2036,9000,3,0,1,0,0
0.7327,44,2,0.1404,9200,15,0,1,0,0
0.08422,42,0,0.4586,6694,26,0,2,0,4
0.1146,40,0,0.36,1e+04,20,0,2,0,2
0.01215,78,0,0.008887,4500,12,0,0,0,0
0.08131,81,0,0.1656,3333,4,0,0,0,0
0.09811,49,0,0.257,6625,9,0,2,0,0
0.01188,54,0,0.09291,9750,8,0,1,0,2
0.1123,53,0,0.2669,8500,9,0,1,0,5
0.6343,49,1,0.1231,1.5e+04,7,0,0,0,1
0.1558,44,0,0.2781,4825,4,0,1,0,2
0,63,0,0.007989,9387,9,0,0,0,0
0.03465,65,0,0.1252,1.25e+04,4,0,1,0,1
0.04671,66,0,1.118,2500,12,0,1,0,0
0.9765,32,0,0.2641,6800,6,0,0,0,2
0.007983,43,1,0.009691,2.083e+05,11,0,1,0,1
0.2675,59,0,0.6376,5700,13,0,2,0,1
0.01978,76,0,0.2671,2900,9,0,0,0,0
0.0104,68,0,0.09414,3600,6,0,1,0,0
0.02982,68,0,0.1751,4464,12,0,1,0,1
0.1817,57,0,0.1305,1.167e+04,17,0,1,0,1
0.05137,68,0,0.4453,4668,10,0,1,0,2
0.2208,46,1,0.6377,1705,5,0,0,0,0
0.0081,69,0,0.3899,8332,3,0,1,0,0
0,44,0,0.3264,6666,4,0,2,0,1
0.9095,53,1,0.5957,7500,16,0,1,0,1
0.9411,40,0,0.1782,8855,9,0,1,0,0
0.9917,36,1,0.5549,5411,10,0,2,0,1
0.6915,42,0,0.2727,1.625e+04,11,0,1,0,1
0.1129,64,0,0.3076,2652,6,0,1,0,0
1,47,0,0.09216,9493,2,2,0,1,0
1,62,0,0,5480,3,0,0,0,0
0.07426,49,0,0.3479,5000,11,0,2,0,3
0.1449,66,0,0.2845,8900,9,0,1,0,0
0.191,54,0,0.7056,5081,10,0,2,0,2
0.6798,83,0,0.6896,4216,6,0,2,0,0
2340,45,0,0.3393,8333,7,0,2,0,2
0.5479,29,1,0.2465,2725,5,0,0,1,0
0.2717,46,1,0.2828,1.58e+04,14,0,2,0,4
0.08515,25,0,1005,0,5,0,0,0,0
0.8972,68,0,0.7878,4000,8,0,2,0,0
0.2589,33,0,0.5374,4900,3,0,1,0,1
0.4652,66,0,0.3914,3172,8,1,1,0,0
0.8654,48,0,0.07585,500,1,0,0,0,0
0.6964,52,0,0.4089,1.1e+04,11,0,1,0,4
0.5445,32,1,0.1668,6667,5,1,0,0,0
0.08124,51,0,0.06683,7750,14,0,0,0,2
0.9488,27,0,0.1449,4166,5,0,0,0,0
0,32,2,0.4636,7460,10,0,1,1,0
0.0166,30,0,0.1366,1500,5,0,0,0,0
0,37,0,0.184,7900,5,0,1,0,5
0.7303,36,1,0.6328,5500,10,0,2,0,0
0.4264,62,1,0.4061,3666,15,0,1,0,0
0.949,57,0,0.04374,8000,3,0,0,0,1
0,59,0,0,4200,7,0,0,0,1
1.003,38,2,0.4725,3550,8,1,0,1,4
0.2838,63,0,0.7502,1244,9,0,0,0,0
0.3198,32,0,1.247,1.25e+04,12,0,8,0,0
0.1552,52,0,0.4835,6946,15,0,2,0,1
0.01312,43,0,4211,0,21,0,2,0,2
0.06726,29,1,0.1683,2090,3,0,0,0,0
0.2842,45,1,0.3189,7500,9,0,1,0,2
0.7276,38,0,0.7125,2423,6,0,1,0,1
0.6878,62,0,0.2495,7090,15,0,0,0,0
0.03371,41,0,0.4087,6500,9,0,1,0,2
0,29,0,0.1939,3000,7,0,0,0,0
0,55,1,0.3883,4400,4,0,2,0,1
0.05359,87,0,0.001534,5213,4,0,0,0,0
0.1008,41,0,0.1998,9230,7,0,1,0,0
0,61,0,1.395,913,11,0,2,0,0
0.3999,28,0,0.1897,4000,6,0,0,0,1
0.05265,43,0,0.5723,1984,9,0,0,0,4
0.07232,71,0,0.4264,4300,8,0,2,0,1
0.204,46,0,0.07291,1.61e+04,6,0,1,0,2
1,30,0,0.09034,5600,1,0,0,0,0
0.8804,43,0,0.4613,7523,6,0,1,0,1
0.4292,59,0,0.3813,1.593e+04,17,0,1,0,1
0.3609,72,0,0.3567,3697,6,0,1,0,0
0.3357,50,0,0.4572,5773,9,0,1,0,1
0.6357,68,1,0.2181,2.5e+04,27,0,3,0,0
0.508,69,2,0.1939,3000,10,2,0,2,0
1,37,0,0.1846,4500,2,0,0,0,1
0.6301,38,0,0.5633,1886,3,0,1,0,0
0.02842,59,0,0.03398,1.433e+04,12,0,1,0,0
0.1434,67,0,0.1195,5666,9,0,0,0,0
0.1867,30,0,0.6981,2500,7,0,2,0,2
0.4964,56,0,0.1702,1.958e+04,12,0,1,0,1
0.4575,51,0,0.3336,8000,16,0,2,0,2
0.9473,28,0,0.4672,1187,4,0,0,0,0
0.01392,54,0,0.01766,4700,7,0,0,0,2
0.01259,79,0,0.009596,2500,11,0,0,0,0
0.5434,46,0,0.2671,5000,6,0,2,0,3
0.08232,64,0,0.2144,8636,29,0,1,0,1
0.2925,74,0,0.1649,2000,3,0,0,0,0
0.04765,63,0,0.388,9000,6,0,2,0,0
0.7391,63,1,0.2852,6150,12,0,0,0,1
0.5223,45,0,0.2902,1.449e+04,13,0,1,0,3
0.9032,57,0,0.1308,5228,10,0,0,0,0
0.01704,43,0,0.1082,2300,6,0,0,0,1
0.06073,61,0,0.00855,2e+04,8,0,0,0,0
0.25,60,0,2.086,7550,26,0,0,0,0
0.4663,34,2,0.007495,3201,3,0,0,0,0
1,60,0,0,4200,0,0,0,0,0
0.2679,76,0,0.2855,8200,12,0,0,0,0
0.02969,76,0,0.07051,9600,7,0,0,0,2
0.7424,52,0,0.4141,9700,10,0,2,0,0
1,42,1,0.1134,6250,3,3,0,1,2
0.1342,63,0,926.5,1,9,0,1,0,0
0.002556,58,0,0.1158,7752,17,0,0,0,2
0.08885,62,0,0.07377,5394,5,0,0,0,0
0.2039,46,1,1.207,5800,12,1,4,0,2
0.006666,27,0,0.0002686,7444,5,0,0,0,0
0.01405,27,0,0.3522,3724,4,0,1,0,1
1,35,1,0.09299,3064,1,0,0,0,3
0.3689,55,0,0.438,9700,18,0,2,0,0
0.05455,73,0,0.04326,1.667e+04,13,0,0,0,0
0.1795,51,0,0.4925,1.017e+04,19,0,4,0,0
0.02689,36,0,0.3449,1.12e+04,6,0,2,0,2
0.07084,64,0,0.2553,6000,6,0,0,0,1
0.031,56,0,0.1314,4800,11,0,1,0,0
0.1449,37,0,0.04537,6700,5,0,0,0,0
0.353,48,0,1.3,4166,17,0,1,0,1
0.7339,49,2,0.3692,8785,20,0,2,0,2
0.06351,57,0,2222,1,12,0,2,0,0
0.03157,39,0,0.6447,3900,14,0,1,0,1
0.9915,61,10,1.298,3000,11,2,3,5,1
0.3977,38,0,0.4163,5750,6,0,1,0,2
0.9714,24,0,0.0358,1200,3,0,0,0,0
0.01089,55,0,0.7251,2000,7,0,2,0,0
0.6861,57,0,0.1607,1.167e+04,6,1,1,0,2
0.2125,58,0,0.519,3290,10,0,1,0,1
0.006956,52,0,0.003279,2439,4,0,0,0,0
0.07325,51,0,0.4467,1.025e+04,9,0,1,0,2
0.4319,63,0,0.4191,8208,22,1,2,0,0
0.02694,41,0,0.6867,4583,8,0,3,0,0
0.3192,49,0,0.3582,9400,18,0,2,0,0
0.008737,68,0,0.21,6000,28,0,1,0,0
0,57,0,0.7852,6783,8,0,3,0,0
0.2437,48,0,0.18,8900,10,0,1,0,6
1,40,1,0.1917,3833,3,2,0,0,2
0,23,0,0,3500,1,0,0,0,1
0.5033,55,0,0.4541,3166,5,0,2,0,0
0.8,61,3,0.6711,5064,19,0,3,1,0
0.02338,84,0,0.009128,4600,6,0,0,0,0
1,32,2,0.09558,2060,1,0,0,0,0
0.09229,61,0,0.2294,7500,23,0,2,0,2
0,37,0,0.177,7236,5,0,1,0,3
1,33,1,0.2577,5416,2,2,1,0,1
0.05787,81,0,0.1457,3939,13,0,0,0,0
0.07808,60,0,0.5661,3917,14,0,1,0,2
0.2019,46,0,0.3945,1e+04,15,0,2,0,3
0.2057,57,0,0.1303,8333,8,0,1,0,0
1,32,0,0.006731,3416,1,0,0,0,3
0.5799,42,0,0.5942,2700,8,0,0,0,0
0.07339,38,1,0.3848,1e+04,9,0,2,0,0
0.07312,33,0,0.2164,5290,9,0,0,0,0
0.7452,68,0,0.1688,4917,4,0,1,0,0
0.1009,52,1,0.2805,5500,6,1,1,0,2
0.3477,46,0,0.04158,2500,1,0,0,0,1
0.3541,57,0,0.5588,4330,4,0,1,0,0
0.02964,50,0,0.3991,9400,15,3,4,0,0
0.5402,34,0,0.0344,7500,3,1,0,0,0
0.6409,53,4,0.5241,1.127e+04,17,0,2,0,3
0.05827,76,0,0.3743,4311,7,0,1,0,0
0.7193,64,0,0.1862,6228,5,0,1,0,0
0.04502,72,0,0.02076,3900,8,0,0,0,0
0.3559,48,0,0.4781,7667,17,0,2,0,0
0.5776,71,1,0.4925,6399,14,0,2,0,1
0.3206,53,0,1.115,5600,14,0,1,0,1
0.1734,51,1,0.08627,5250,11,0,0,0,0
0.4018,55,0,0.4128,2550,11,0,0,0,0
0.3012,46,0,0.2547,7668,10,0,1,0,3
0.06751,43,0,0.4472,9115,4,0,2,0,0
0,75,0,0.206,1640,4,0,0,0,1
0.9933,31,0,0.06823,4484,6,0,0,0,1
0.1388,43,0,0.3841,1.167e+04,9,0,5,0,0
0.1936,51,0,0.5328,3800,13,0,2,0,0
0.001125,28,1,0.05799,6000,8,1,0,0,0
0.9795,55,1,0.4679,7433,11,0,2,2,0
0.09064,69,0,0.01668,4015,2,0,0,0,0
0.3848,42,0,0.5331,7416,5,0,1,0,3
0.01812,60,0,0.02318,1250,4,0,0,0,1
0.2903,48,0,0.2628,7996,7,0,1,0,3
0.05216,49,0,0.06763,6993,5,0,0,0,1
1,73,0,8500,0,2,0,0,0,0
0.4127,66,1,0.1951,4100,7,1,0,0,0
0.9131,37,2,1.62,4000,16,0,3,0,1
0.06563,31,0,0.1626,5250,10,0,0,0,0
0.4997,39,0,0.4502,3200,8,0,1,0,0
0.2895,44,0,0.4826,8916,17,0,2,0,1
0.8142,50,1,0.2971,3600,8,0,1,1,1
0.01641,55,0,0.001786,5599,3,0,0,0,2
0.0785,52,0,0.2073,8220,5,0,1,0,3
0.02969,58,2,0.2872,6204,19,0,1,0,0
0.01256,62,0,0.04476,7416,5,0,0,0,0
0.6401,39,0,0.05598,9841,9,0,0,0,2
0.5818,45,0,0.7248,8000,11,0,2,0,0
0.3121,55,1,0.1271,1266,5,0,0,0,0
0.2664,58,0,0.4985,1.29e+04,12,0,1,0,2
0.04019,35,0,0.3008,5600,8,0,2,0,1
0.9555,52,1,0.5249,1.048e+04,11,0,3,0,1
0.08664,40,0,887,0,8,0,1,0,1
0.9544,45,2,0.4842,8836,10,0,1,0,1
0.1883,27,0,0.8818,3900,6,0,1,0,1
0.01405,37,0,0.6744,6120,9,0,1,0,0
0.3296,36,0,0.4377,3597,16,0,2,0,2
0.4841,40,0,0.4233,1.079e+04,9,0,2,0,2
0.08483,59,0,0.5342,3612,9,0,2,0,0
0.1523,49,0,0.03077,9000,3,0,0,0,0
0.2129,66,0,0.3519,5100,10,0,1,0,0
1,63,3,0.2008,5217,5,0,1,1,4
0,30,0,0,4700,1,0,0,0,1
0.5763,36,0,0.7854,3000,10,0,1,0,1
0,27,0,0,4500,5,0,0,0,0
0.1068,44,3,0.7474,6000,8,0,3,0,2
0.1621,38,0,0.02489,7e+04,6,0,1,0,2
0.6225,43,0,0.3539,1.023e+04,8,0,1,0,0
0.7327,29,0,0.3385,8400,10,0,1,0,0
0.4867,55,0,0.3247,9000,10,0,2,0,0
0.5848,60,0,0.2936,6003,11,0,1,0,0
0.8754,37,0,0.4377,1436,5,0,0,0,1
0.04386,69,0,0.06412,6908,7,0,1,0,0
0.0393,48,0,0.4804,7420,10,0,2,0,0
0.3395,89,1,0.5494,2500,9,3,0,1,0
0.008685,75,0,0.001327,8289,5,0,0,0,0
1,55,1,0.1387,4144,1,0,0,0,0
0.5036,63,0,1.309,4000,16,0,1,0,0
0.6978,31,0,0.237,1.2e+04,10,0,0,0,1
0.6504,61,0,0.3681,1e+04,10,0,1,0,1
0.3025,46,0,0.3481,7900,12,0,1,0,2
1,40,0,0.1858,2400,1,2,0,0,0
0.1556,56,0,0.3368,2000,5,0,1,0,0
0.8363,29,3,0.2602,4350,8,0,1,0,1
0.293,45,0,0.3739,3775,5,0,1,0,3
1,49,1,0.09894,4800,1,0,0,0,4
0,51,0,0.2381,1e+04,6,0,1,0,0
0.1065,78,0,0.0243,5595,9,0,0,0,0
0.2508,36,0,0.2401,5833,6,0,2,0,1
0.1816,54,0,0.3539,6048,9,0,1,0,1
0.002965,67,0,0.349,1.68e+04,14,0,5,0,0
0.04891,63,0,0.1028,6283,4,0,0,0,1
0.517,61,0,0.5726,7500,20,0,2,0,0
0.0241,86,0,0.01079,2223,6,0,0,0,0
0.123,50,0,0.4541,3289,6,0,1,0,1
0.3871,51,0,0.3509,5833,12,0,1,2,1
0.02174,70,0,0.1878,5000,11,0,1,0,0
0.2693,44,0,0.6076,1500,7,0,0,0,3
0.9963,39,2,0.3061,1.093e+04,17,0,0,0,1
0.01915,49,0,0.201,3.333e+04,6,0,3,0,4
0.008666,58,0,1.909,6500,17,0,5,0,0
0.1557,39,0,723,0,13,0,0,0,2
0.2104,53,0,0.5136,5770,10,0,2,0,1
0.09563,36,0,0.1753,2247,4,0,0,0,1
0.964,29,1,0.2635,2200,6,0,0,0,0
0.2112,44,1,0.2138,2080,13,1,0,1,0
0.1845,32,0,0.445,7166,11,0,2,0,0
0,52,0,0.4444,3500,5,0,2,0,1
0.7322,44,0,0.2586,1.291e+04,26,0,0,0,0
0.3921,54,0,1.383,3850,18,0,2,0,2
0.617,32,1,0.1916,6250,10,0,0,0,2
0.2885,87,1,0.5714,1700,23,0,0,0,0
0.2211,43,0,0.1572,7333,5,0,1,0,0
0.1936,47,0,0.02015,5856,1,0,0,0,3
0.01444,75,0,0.1457,1.606e+04,8,0,1,0,0
0.532,64,2,0.4801,1.85e+04,19,0,3,0,1
0.347,41,0,1.433,1700,13,0,3,0,2
1,40,0,2866,0,2,0,2,0,0
0,56,0,0,6200,2,0,0,0,0
0.6585,55,0,0.4897,5541,6,0,1,0,0
0.1047,36,0,0.2974,4300,8,0,1,0,1
0.04674,57,0,0.4048,1.192e+04,13,0,3,0,0
0.05789,56,0,0.2381,4400,13,0,1,0,1
0.8832,49,0,0.1837,4500,18,0,0,0,2
0.08881,51,0,0.2955,7123,12,0,1,0,0
0.2819,28,0,0.18,2416,7,0,0,0,0
0.4023,37,0,0.3376,1.267e+04,16,0,2,0,3
0.01035,52,0,0.2586,3812,6,0,1,0,1
0.3366,36,0,0.08037,1181,2,0,0,0,0
0.04484,51,0,0.2336,1.132e+04,5,0,1,0,2
0.007712,69,0,0.1566,3000,6,0,0,0,0
1.011,52,0,10.8,400,8,0,1,0,2
0,49,0,0.6227,1600,10,0,1,0,1
0.3147,51,3,0.1603,1.698e+04,13,0,2,1,4
0.1493,36,0,0.5583,4500,9,0,3,0,0
0.03785,62,0,0.1629,8741,15,0,1,0,0
0.2811,69,0,0.1622,4500,10,0,0,0,1
0.1337,49,0,0.09352,4800,7,0,0,0,2
0,65,0,0.4164,6666,10,0,1,0,0
0.8272,56,1,0.22,8700,8,0,0,1,1
0.02508,57,0,0.3609,3000,15,0,0,0,0
0.5788,48,0,0.3676,6613,10,0,1,0,1
0.0207,47,0,0.6451,3400,6,0,1,0,2
1.249,33,0,0.1751,2700,3,2,0,0,0
0.5698,40,0,0.3614,1.1e+04,18,0,1,0,2
0.9149,40,0,0.517,4900,7,0,1,0,1
0.9646,35,4,0.3058,4400,10,3,0,2,2
0.02731,65,0,0.3253,2083,6,0,0,0,0
0.03561,81,0,0.01726,7125,7,0,0,0,0
0.004595,52,0,0.391,7166,7,0,1,0,0
0.04253,69,0,0.009691,6500,4,0,0,0,1
0.1802,40,0,0.4483,9501,15,0,2,0,1
0.05494,35,0,0.6622,5833,10,0,2,0,2
0.09972,80,0,0.008908,1.1e+04,3,0,0,0,0
0.1754,47,0,0.1491,4500,9,0,0,0,0
0.01988,64,0,0.0286,6083,16,0,0,0,0
0.9908,36,2,0.3613,4117,4,0,0,0,1
0.3861,49,0,0.1665,1.167e+04,17,0,0,0,3
0.008287,55,0,0.1152,7032,8,0,1,0,0
0.05869,35,0,0.3357,8333,6,0,2,0,2
0.09111,63,0,0.03542,3500,5,0,0,0,0
0.02311,64,0,0.5135,9083,16,0,3,0,0
0.08343,64,0,0.03787,2930,7,0,0,0,2
0.5294,26,1,0.01705,820,1,0,0,0,0
0.1927,77,0,0.4579,7035,21,0,1,0,1
1,32,0,0.178,4000,1,2,0,0,0
0.3594,54,0,3.874,1082,22,0,1,0,0
0.1065,40,0,0.2632,8800,17,0,3,0,4
0.0124,50,3,0.2075,1.192e+04,4,0,1,0,0
1,56,0,0.007119,1.25e+04,2,0,0,0,2
0.003939,75,0,0.1999,7876,11,0,2,0,0
0.5204,36,1,0.2329,2648,5,0,0,0,3
0.1609,33,0,0.1824,3333,13,0,0,0,0
0.2525,52,0,0.4426,6000,13,0,1,0,2
0.00964,52,0,0.2624,4400,5,0,0,0,0
0.9864,36,0,0.4419,1.1e+04,8,0,2,0,0
0.09239,71,2,0.1901,1.3e+04,7,0,1,0,0
0,76,0,272,0,6,0,0,0,0
0.04552,40,0,0.09036,1.1e+04,12,0,0,0,3
0.2457,46,0,0.5851,6707,21,0,1,0,3
0.01614,76,0,0.6683,1666,11,0,1,0,0
0.1897,60,0,0.04587,2833,2,0,0,0,0
0.04908,63,2,0.3619,1.644e+04,12,0,1,0,1
0.4109,56,0,0.7122,4575,16,0,1,0,0
0.4765,33,0,0.3129,5000,4,0,1,0,0
0.375,64,0,0.0112,2500,4,0,0,0,0
0.1162,33,0,0.04374,4000,9,0,0,0,0
0.2545,56,0,0.4614,8500,15,0,2,0,4
0.01357,60,0,0.7111,1.7e+04,11,0,3,0,0
1,27,0,0.2608,3274,3,0,0,1,2
0.02919,41,0,0.3363,3600,5,0,1,0,0
0.9851,48,0,0.3769,3082,4,0,1,0,0
0,39,0,0.7351,6708,13,0,2,0,2
0.3129,36,0,0.2307,8000,28,0,0,0,0
0.7149,34,1,0.8704,6000,8,0,1,0,0
0.1419,79,0,0.8129,3200,8,0,2,0,0
